Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP (current US$),1320474860.0,1379960894.0,1531944134.0,1665100559.0,1722798883.0,1873452514.0,1920111732.0,1941340782.0,2021229050.0,2228491620.0,2330726257.0,2424581006.0,2615083799.0,2745251397.0,2498882682.0,2390502793.0,2549720670.0,2534636872.0,2581564246.0,2649720670.0,2691620112.0,2646927374.0,2700558659.0
Afghanistan,AFG,GDP (current US$),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4055176933.0,4515563414.0,5226775163.0,6209140044.0,6971286732.0,9747886105.0,10109218068.0,12439087077.0,15856574731.0,17804280538.0,20001615789.0,20561054090.0,20484873230.0,19907111419.0,19362642267.0,20191764940.0
Angola,AGO,GDP (current US$),5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,15285594828.0,17812705294.0,23552052408.0,36970918699.0,52381006892.0,65266452081.0,88538611205.0,70307163678.0,83799496611.0,111790000000.0,128053000000.0,136710000000.0,145712000000.0,116194000000.0,101124000000.0,122124000000.0
Albania,ALB,GDP (current US$),2392764853.0,3199642580.0,2258515610.0,2545967253.0,3212119044.0,3480355189.0,3922099471.0,4348070165.0,5611492283.0,7184681399.0,8052075642.0,8896073938.0,10677321490.0,12881353985.0,12044223458.0,11926962835.0,12890867536.0,12319784701.0,12776277649.0,13228244336.0,11386927679.0,11861353752.0,13025064967.0
Andorra,AND,GDP (current US$),1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1434429703.0,1496912752.0,1733116883.0,2398645598.0,2935659300.0,3255789081.0,3543256806.0,4016972351.0,4007353157.0,3660530703.0,3355695364.0,3442062830.0,3164615187.0,3281585236.0,3350736367.0,2811489409.0,2877311947.0,3013387424.0
Arab World,ARB,GDP (current US$),523791000000.0,578296000000.0,613346000000.0,591579000000.0,643960000000.0,735131000000.0,723370000000.0,729107000000.0,823290000000.0,964320000000.0,1185230000000.0,1404830000000.0,1638460000000.0,2078960000000.0,1796480000000.0,2110270000000.0,2502200000000.0,2787510000000.0,2867810000000.0,2908900000000.0,2557900000000.0,2510520000000.0,2586510000000.0
United Arab Emirates,ARE,GDP (current US$),65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104337000000.0,103312000000.0,109816000000.0,124346000000.0,147824000000.0,180617000000.0,222117000000.0,257916000000.0,315475000000.0,253547000000.0,289787000000.0,350666000000.0,374591000000.0,390108000000.0,403137000000.0,358135000000.0,357045000000.0,377701000000.0
Argentina,ARG,GDP (current US$),258032000000.0,272150000000.0,292859000000.0,298948000000.0,283523000000.0,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557531000000.0,642696000000.0
Armenia,ARM,GDP (current US$),1468317350.0,1596968913.0,1639492424.0,1893726437.0,1845482181.0,1911563665.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0
American Samoa,ASM,GDP (current US$),0.0,0.0,0.0,0.0,0.0,0.0,0.0,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,642000000.0,661000000.0,652000000.0,602000000.0
Antigua and Barbuda,ATG,GDP (current US$),577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296.0,1157005444.0,1311401333.0,1368431037.0,1224253000.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467977778.0
Australia,AUS,GDP (current US$),367216000000.0,400303000000.0,434568000000.0,398899000000.0,388608000000.0,415223000000.0,378376000000.0,394649000000.0,466488000000.0,612490000000.0,693408000000.0,746054000000.0,853100000000.0,1054000000000.0,927805000000.0,1146140000000.0,1396650000000.0,1546150000000.0,1576180000000.0,1467480000000.0,1351690000000.0,1208850000000.0,1330140000000.0
Austria,AUT,GDP (current US$),241038000000.0,237251000000.0,212790000000.0,218260000000.0,217186000000.0,196800000000.0,197338000000.0,213378000000.0,261696000000.0,300904000000.0,315974000000.0,335999000000.0,388691000000.0,430294000000.0,400172000000.0,391893000000.0,431120000000.0,409425000000.0,430069000000.0,441996000000.0,381818000000.0,395228000000.0,417283000000.0
Azerbaijan,AZE,GDP (current US$),3052467522.0,3176703092.0,3962735257.0,4446370371.0,4581246713.0,5272617196.0,5707720391.0,6235856820.0,7276013032.0,8680370408.0,13245716099.0,20982986344.0,33050343783.0,48852482960.0,44291490421.0,52902703376.0,65951627200.0,69683935845.0,74164435946.0,75244294275.0,53074468085.0,37867518957.0,40865558912.0
Burundi,BDI,GDP (current US$),1000428394.0,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046.0,1273375020.0,1356199365.0,1611835902.0,1781455092.0,2032135247.0,2235820868.0,2333308099.0,2451625333.0,2705783272.0,3104394858.0,2959640987.0,3172292379.0
Belgium,BEL,GDP (current US$),288026000000.0,279201000000.0,252708000000.0,258528000000.0,258159000000.0,236205000000.0,236541000000.0,257158000000.0,317382000000.0,368537000000.0,385571000000.0,407918000000.0,470324000000.0,515224000000.0,481346000000.0,480952000000.0,522646000000.0,496181000000.0,521643000000.0,534678000000.0,462150000000.0,476057000000.0,503005000000.0
Benin,BEN,GDP (current US$),2169627251.0,2361116588.0,2268301538.0,2455092582.0,2689787918.0,2569186643.0,2680213931.0,3054571082.0,3905366188.0,4521424807.0,4803702821.0,5142380779.0,5969535132.0,7132787397.0,7097198712.0,6977040762.0,7824320327.0,8152088222.0,9159958826.0,9720362615.0,8294490789.0,8578984066.0,9269594835.0
Burkina Faso,BFA,GDP (current US$),2379518099.0,2586550747.0,2447669404.0,2804902724.0,2993753187.0,2628920056.0,2812845514.0,3205592290.0,4205691222.0,4838551100.0,5462709498.0,5816310158.0,6771277871.0,8369637065.0,8369175126.0,8979966766.0,10724063458.0,11166063467.0,11947176342.0,12377391463.0,10419303761.0,10867024152.0,12330338343.0
Bangladesh,BGD,GDP (current US$),37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149990000000.0,172885000000.0,195079000000.0,221415000000.0,249724000000.0
Bulgaria,BGR,GDP (current US$),18867559524.0,12184935357.0,11211546465.0,14942172234.0,13531969309.0,13153016531.0,14075616789.0,16276456428.0,20982685981.0,25957970922.0,29636617750.0,34130122491.0,44411476557.0,54409138498.0,51884481410.0,50610058210.0,57418414504.0,53903022339.0,55555171010.0,56814543481.0,50201314895.0,53240950226.0,58220973783.0
Bahrain,BHR,GDP (current US$),5849467819.0,6101861436.0,6349202394.0,6183776596.0,6621010372.0,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710877660.0,22938218085.0,25713271277.0,28776622340.0,30749335106.0,32539547872.0,33387686170.0,31125877660.0,32250132979.0,35432686170.0
"Bahamas, The",BHS,GDP (current US$),3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562700000.0,10913300000.0,11752300000.0,11938400000.0,12150400000.0
Bosnia and Herzegovina,BIH,GDP (current US$),1866572954.0,2786045322.0,3671816504.0,4116699437.0,4685733115.0,5505887894.0,5748993411.0,6651106833.0,8369878823.0,10596205714.0,11222953519.0,12864610994.0,15778767670.0,19112739664.0,17613836210.0,17176781337.0,18644723861.0,17226849297.0,18178503835.0,18558343508.0,16211540686.0,16913330694.0,18080118128.0
Belarus,BLR,GDP (current US$),13972676841.0,14756846154.0,14128408566.0,15222012660.0,12138486532.0,12736856828.0,12354820144.0,14594249023.0,17827791321.0,23144351852.0,30207567317.0,36954312354.0,45277399814.0,60763483146.0,50874078052.0,58665088956.0,61757788945.0,65685102555.0,75527984234.0,78813839984.0,56454734397.0,47722657821.0,54726595249.0
Belize,BLZ,GDP (current US$),620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832072450.0,871860600.0,932551850.0,990374050.0,1057845500.0,1114202700.0,1217442150.0,1290542550.0,1368625150.0,1335217500.0,1377179137.0,1460800212.0,1522899790.0,1579413515.0,1662802599.0,1723785357.0,1775100179.0,1836593466.0
Bermuda,BMU,GDP (current US$),2030749952.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,5414299000.0,5895048000.0,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,0.0,0.0,0.0,0.0
Bolivia,BOL,GDP (current US$),6715220507.0,7396966657.0,7925673448.0,8497545598.0,8285075872.0,8397912509.0,8141537938.0,7905485216.0,8082364868.0,8773451739.0,9549077869.0,11451869165.0,13120183157.0,16674324634.0,17339992165.0,19649631451.0,23963033588.0,27084497540.0,30659338784.0,32996188133.0,33000198263.0,33941126194.0,37508642258.0
